"Nummer";"Län (lokal)";"Art";"Datum";"Vatten";"Sweref99 N (Vatten)";"Sweref99 E (Vatten)";"Lokal";"sweref99N";"sweref99E";"Metodik";"Förekomst"
5798;"Västmanlands län";"Signalkräfta";"2001-01-01";"MAGSJÖN";6621224;568132;"Magsjön";6621224;568132;"Uppskattning";"Finns troligen"
5799;"Västmanlands län";"Signalkräfta";"1992-01-01";"MAGSJÖN";6621224;568132;"Magsjön";6621224;568132;"Historik";"Säker"
5800;"Västmanlands län";"Signalkräfta";"2001-01-01";"LÅNGSVAN";6617793;546590;"Långsvan";6617793;546590;"Uppskattning";"Säker"
5801;"Västmanlands län";"Signalkräfta";"1992-01-01";"LÅNGSVAN";6617793;546590;"Långsvan";6617793;546590;"Historik";"Säker"
5802;"Västmanlands län";"Signalkräfta";"2001-01-01";"LÅNGFORSEN";6644405;587624;"Långforsen";6644405;587624;"Enkät";"Säker"
5803;"Västmanlands län";"Signalkräfta";"1992-01-01";"LÅNGFORSEN";6644405;587624;"Långforsen";6644405;587624;"Historik";"Säker"
5804;"Västmanlands län";"Signalkräfta";"2001-01-01";"LÅNGBJÖRKEN";6627441;552441;"Långbjörken";6627441;552441;"Uppskattning";"Finns troligen"
5805;"Västmanlands län";"Signalkräfta";"1992-01-01";"LÅNGBJÖRKEN";6627441;552441;"Långbjörken";6627441;552441;"Historik";"Säker"
5806;"Västmanlands län";"Signalkräfta";"2001-01-01";"LILLSVAN";6613801;545519;"Lillsvan";6613801;545519;"Uppskattning";"Säker"
5807;"Västmanlands län";"Signalkräfta";"1992-01-01";"LILLSVAN";6613801;545519;"Lillsvan";6613801;545519;"Historik";"Säker"
5808;"Västmanlands län";"Signalkräfta";"2001-01-01";"LILLA NADDEN";6627652;566484;"Lilla nadden";6627652;566484;"Uppskattning";"Säker"
5809;"Västmanlands län";"Signalkräfta";"1992-01-01";"LILLA NADDEN";6627652;566484;"Lilla nadden";6627652;566484;"Historik";"Säker"
